x,f_linear,g_polynomial,h_challenge
-9.7,-14.4,-1292.733,0.0391
-11.9,-18.8,-2257.499,0.0572
12.0,29.0,1170.0,-5.9147
13.5,32.0,1750.875,11.9601
17.6,40.2,4236.336,-32.0562
0.9,6.8,4.389,0.9378
12.5,30.0,1346.625,-0.808
-3.2,-1.4,-70.928,0.0308
15.4,35.8,2725.024,6.5954
-11.1,-17.2,-1865.571,0.108
-0.8,3.4,2.128,-0.6113
-3.7,-2.4,-103.113,0.2528
-5.3,-5.6,-260.537,0.2883
2.9,10.8,-0.351,0.4273
-10.8,-16.6,-1731.072,0.1131
-13.1,-21.2,-2941.631,-0.037
-7.7,-10.4,-695.393,-0.2118
-10.4,-15.8,-1561.904,0.1034
-5.7,-6.4,-314.853,0.1761
10.4,25.8,708.624,-6.6263
-10.3,-15.6,-1521.387,0.0978
3.1,11.2,0.451,0.0773
-13.2,-21.4,-3004.128,-0.0423
-17.7,-30.4,-6810.093,0.0265
-16.3,-27.6,-5403.807,0.0214
-5.6,-6.2,-300.656,0.206
-7.8,-10.6,-719.712,-0.2098
12.9,30.8,1499.949,4.3217
-1.8,1.4,-14.592,-0.6794
-13.3,-21.6,-3067.497,-0.0468
11.4,27.8,979.104,-8.988
9.0,23.0,420.0,2.4932
2.0,9.0,0.0,1.3565
11.8,28.6,1103.872,-7.3451
-0.4,4.2,4.896,-0.3595
-7.5,-10.0,-648.375,-0.2093
-5.4,-5.8,-273.504,0.2624
9.4,23.8,492.544,0.1624
-11.4,-17.8,-2006.784,0.094
13.7,32.4,1840.293,14.0305
1.8,8.6,0.672,1.3958
13.8,32.6,1886.112,14.9102
0.2,5.4,6.048,0.2068
11.0,27.0,864.0,-9.0249
12.7,30.4,1421.923,1.6893
-1.7,1.6,-12.173,-0.7058
3.9,12.8,8.379,-1.5003
8.4,21.8,324.864,4.5854
12.1,29.2,1204.021,-5.0567
8.3,21.6,310.527,4.7448
-7.1,-9.2,-560.651,-0.1762
-16.2,-27.4,-5311.488,0.0185
-18.9,-32.8,-8193.009,-0.0012
7.1,19.2,169.371,3.0158
-1.5,2.0,-7.875,-0.739
2.3,9.6,-0.693,1.1813
-8.8,-12.6,-994.032,-0.1006
-2.1,0.8,-23.001,-0.5672
12.6,30.2,1383.936,0.4179
6.1,17.2,90.241,-0.617
-8.3,-11.6,-849.647,-0.1715
16.9,38.8,3707.269,-27.2891
7.8,20.6,244.992,4.7519
18.5,42.0,4987.125,-13.8524
10.1,25.2,638.361,-4.712
16.3,37.6,3290.287,-14.537
-3.6,-2.2,-96.096,0.2154
11.7,28.4,1071.753,-7.9103
-6.4,-7.8,-426.384,-0.0324
-4.6,-4.2,-180.576,0.396
-0.1,4.8,5.859,-0.0979
-0.3,4.4,5.313,-0.2783
19.3,43.6,5724.397,20.6648
-19.8,-34.6,-9344.352,-0.0155
0.4,5.8,5.824,0.4219
-8.5,-12.0,-905.625,-0.1459
18.8,42.6,5255.712,-2.1275
3.8,12.6,6.912,-1.3083
-17.4,-29.8,-6490.464,0.0306
-8.0,-11.0,-770.0,-0.1997
10.7,26.4,783.783,-8.1309
2.4,9.8,-0.816,1.0916
17.3,39.6,4003.857,-31.8098
6.8,18.6,142.272,1.9252
11.6,28.2,1040.256,-8.3728
17.1,39.2,3853.671,-30.0823
-7.3,-9.6,-603.477,-0.1975
-12.6,-20.2,-2642.016,-0.0027
12.3,29.6,1274.007,-3.0811
-17.1,-29.2,-6180.951,0.0322
-11.7,-18.4,-2154.873,0.0734
13.1,31.2,1580.751,6.9868
-9.3,-13.6,-1153.617,-0.0194
5.0,15.0,36.0,-2.6066
9.7,24.4,552.013,-1.8911
-6.7,-8.4,-481.023,-0.106
4.4,13.8,18.144,-2.2942
-1.6,1.8,-9.936,-0.7258
9.1,23.2,437.431,1.9694
-15.6,-26.2,-4779.456,-0.0048
16.8,38.6,3635.472,-25.5523
-13.5,-22.0,-3196.875,-0.054
-11.5,-18.0,-2055.375,0.0878
4.2,13.4,13.728,-2.0189
-1.4,2.2,-5.984,-0.7448
-4.1,-3.2,-134.261,0.3604
-18.8,-32.6,-8071.232,0.0012
-16.5,-28.0,-5591.625,0.0263
-17.2,-29.4,-6283.008,0.032
-3.0,-1.0,-60.0,-0.0774
-5.8,-6.6,-329.472,0.1456
16.0,37.0,3094.0,-7.063
15.3,35.6,2666.517,8.4615
2.1,9.2,-0.279,1.3138
-10.5,-16.0,-1603.125,0.1077
-14.9,-24.8,-4204.889,-0.0367
4.0,13.0,10.0,-1.6843
9.9,24.8,594.159,-3.3138
10.5,26.0,733.125,-7.1837
-2.2,0.6,-26.208,-0.5207
-15.9,-26.8,-5040.819,0.0079
11.1,27.2,891.891,-9.1572
0.6,6.2,5.376,0.6366
5.4,15.8,52.224,-2.2755
13.2,31.4,1622.208,8.2968
-19.6,-34.2,-9079.776,-0.0135
5.6,16.2,61.776,-1.9347
18.6,42.2,5075.616,-10.1912
-10.0,-15.0,-1404.0,0.0736
2.6,10.2,-0.864,0.8671
14.2,33.4,2076.928,17.082
1.3,7.6,2.737,1.2497
-2.9,-0.8,-54.929,-0.134
-10.2,-15.4,-1481.568,0.091
1.5,8.0,1.875,1.3465
-13.9,-22.8,-3466.359,-0.0603
-15.3,-25.6,-4527.237,-0.0186
-16.8,-28.6,-5881.392,0.0308
6.7,18.4,133.903,1.5461
0.0,5.0,6.0,0.0
15.7,36.4,2905.633,0.184
-17.3,-29.6,-6386.177,0.0314
17.5,40.0,4157.875,-32.3083
3.0,11.0,0.0,0.2571
6.0,17.0,84.0,-0.9277
8.8,22.6,386.512,3.3998
-3.8,-2.6,-110.432,0.2861
14.0,33.0,1980.0,16.2902
-6.2,-7.4,-392.288,0.024
-13.8,-22.6,-3397.632,-0.0597
-6.5,-8.0,-444.125,-0.0586
-7.2,-9.4,-581.808,-0.188
-19.2,-33.4,-8565.648,-0.0074
-13.6,-22.2,-3262.896,-0.0566
10.0,25.0,616.0,-4.0198
-18.6,-32.2,-7831.296,0.006
-4.4,-3.8,-161.024,0.3947
-16.0,-27.0,-5130.0,0.0117
16.7,38.4,3564.603,-23.6234
12.4,29.8,1309.984,-1.9775
1.6,8.2,1.456,1.3765
7.9,20.8,257.299,4.8498
14.6,34.2,2280.096,16.5906
3.6,12.2,4.416,-0.9091
0.7,6.4,5.083,0.741
1.2,7.4,3.168,1.1849
9.5,24.0,511.875,-0.5025
16.5,38.0,3425.625,-19.2984
5.1,15.2,39.711,-2.5675
19.1,43.2,5533.731,11.3023
16.6,38.2,3494.656,-21.5295
10.3,25.6,684.667,-6.0232
6.9,18.8,150.969,2.2992
0.1,5.2,6.061,0.1019
-3.9,-2.8,-118.059,0.3153
-15.7,-26.4,-4865.553,-0.0003
1.7,8.4,1.053,1.3932
-1.0,3.0,0.0,-0.6889
10.9,26.8,836.689,-8.8059
5.9,16.8,78.039,-1.2167
-9.5,-14.0,-1221.875,0.0112
-14.7,-24.4,-4049.583,-0.0447
-19.9,-34.8,-9478.539,-0.0162
-15.1,-25.2,-4364.091,-0.0279
-12.0,-19.0,-2310.0,0.0487
0.5,6.0,5.625,0.5298
-16.6,-28.2,-5687.136,0.0281
6.3,17.6,103.587,0.0593
-10.9,-16.8,-1775.169,0.1125
13.9,32.8,1932.679,15.6678
-14.8,-24.6,-4126.752,-0.0408
14.5,34.0,2228.125,16.9909
6.4,17.8,110.704,0.4192
4.1,13.2,11.781,-1.8579
-18.7,-32.4,-7950.663,0.0035
11.5,28.0,1009.375,-8.7319
-11.2,-17.4,-1911.888,0.1042
7.3,19.6,189.157,3.6619
-3.4,-1.8,-82.944,0.1295
12.8,30.6,1460.592,2.9948
19.4,43.8,5821.344,25.329
-6.6,-8.2,-462.336,-0.0832
10.6,26.2,758.176,-7.6878
18.4,41.8,4899.664,-17.229
11.9,28.8,1136.619,-6.6789
4.3,13.6,15.847,-2.165
-14.6,-24.2,-3973.376,-0.0483
-15.0,-25.0,-4284.0,-0.0324
-2.6,-0.2,-41.216,-0.3065
-1.1,2.8,-1.271,-0.7152
19.8,44.6,6220.032,42.6831
-1.3,2.4,-4.257,-0.743
-3.1,-1.2,-65.331,-0.0224
-14.2,-23.4,-3678.048,-0.0583
-15.2,-25.4,-4445.168,-0.0233
14.4,33.8,2176.944,17.2025
3.5,12.0,3.375,-0.7064
5.2,15.4,43.648,-2.4995
-17.9,-30.8,-7028.879,0.0227
11.3,27.6,949.437,-9.1425
-4.0,-3.0,-126.0,0.3401
7.6,20.2,221.536,4.4255
-0.9,3.2,1.131,-0.6543
9.3,23.6,473.697,0.7995
14.3,33.6,2126.547,17.2305
5.7,16.4,66.933,-1.7219
10.8,26.6,809.952,-8.5058
-5.1,-5.2,-235.791,0.3338
-7.0,-9.0,-540.0,-0.162
-4.9,-4.8,-212.589,0.3687
15.9,36.8,3030.339,-4.5895
-10.1,-15.2,-1442.441,0.0829
17.2,39.4,3928.288,-31.0903
-11.3,-17.6,-1958.957,0.0996
13.0,31.0,1540.0,5.657
1.4,7.8,2.304,1.3039
-7.9,-10.8,-744.579,-0.2058
20.0,45.0,6426.0,49.8451
-18.0,-31.0,-7140.0,0.0205
-1.2,2.6,-2.688,-0.7332
-12.9,-20.8,-2819.229,-0.0248
-9.4,-13.8,-1187.424,-0.0038
7.0,19.0,160.0,2.6642
14.8,34.6,2386.432,15.2117
-9.8,-14.6,-1329.152,0.0516
